NodeName,NodeIPAddress,Site,Stakeholder,Poller,PollingMethod
awsd0303r02,10.188.80.69,Store Dev - 8880,Store Devices,2,SNMP
awsd1461r01,10.188.80.70,Store Dev - 8880,Store Devices,2,SNMP
awsd1461r02,10.188.80.71,Store Dev - 8880,Store Devices,2,SNMP
awsd1597r01,10.188.80.72,Store Dev - 8880,Store Devices,2,SNMP
awsd1597r02,10.188.80.73,Store Dev - 8880,Store Devices,2,SNMP
awsd4802r01,10.188.80.78,Store Dev - 8880,Store Devices,2,SNMP
awsd4802r02,10.188.80.79,Store Dev - 8880,Store Devices,2,SNMP
awsd6270r01,10.188.80.81,Store Dev - 8880,Store Devices,2,SNMP
awsd6270r02,10.188.80.82,Store Dev - 8880,Store Devices,2,SNMP
awsd1665r01,10.188.81.68,Store Dev - 8881,Store Devices,2,SNMP
awsd1733r01,10.188.81.69,Store Dev - 8881,Store Devices,2,SNMP
awsd1863r01,10.188.81.70,Store Dev - 8881,Store Devices,2,SNMP
awsd6200r01,10.188.81.73,Store Dev - 8881,Store Devices,2,SNMP
awsd1840r01,10.188.90.78,Store Dev - 8890,Store Devices,2,SNMP
awsd0096r01,10.188.94.68,Store Dev - 8894,Store Devices,2,SNMP
awsd0096r02,10.188.94.69,Store Dev - 8894,Store Devices,2,SNMP
awsd0101r01,10.188.94.70,Store Dev - 8894,Store Devices,2,SNMP
awsd0180r01,10.188.94.71,Store Dev - 8894,Store Devices,2,SNMP
awsd0340r01,10.188.94.72,Store Dev - 8894,Store Devices,2,SNMP
awsd0340r02,10.188.94.73,Store Dev - 8894,Store Devices,2,SNMP
awsd0340r03,10.188.94.78,Store Dev - 8894,Store Devices,2,SNMP
awsd0419r01,10.188.94.79,Store Dev - 8894,Store Devices,2,SNMP
awsd0573r01,10.188.94.80,Store Dev - 8894,Store Devices,2,SNMP
awsd1002r01,10.188.94.80,Store Dev - 8894,Store Devices,2,SNMP
awsd1468r01,10.188.94.81,Store Dev - 8894,Store Devices,2,SNMP
awsd0023r01,10.188.94.82,Store Dev - 8894,Store Devices,2,SNMP
awsd1493r01,10.8.1.113,Store Dev - VM,Store Devices,2,SNMP
awsd1508r01,10.8.1.145,Store Dev - VM,Store Devices,2,SNMP
awsd1804r01,10.8.1.146,Store Dev - VM,Store Devices,2,SNMP
awsd7140r01,10.8.1.175,Store Dev - VM,Store Devices,2,SNMP
awsd7140r02,10.8.1.176,Store Dev - VM,Store Devices,2,SNMP
awsd1885r01,10.8.1.20,Store Dev - VM,Store Devices,2,SNMP
awsd6247r01,10.8.1.210,Store Dev - VM,Store Devices,2,SNMP
awsd6247r02,10.8.1.211,Store Dev - VM,Store Devices,2,SNMP
awsd5035r01,10.8.1.212,Store Dev - VM,Store Devices,2,SNMP
awsd5035r02,10.8.1.213,Store Dev - VM,Store Devices,2,SNMP
