Caption	IP_Address
ugus0037r02	10.100.37.133
ugus0080r01	10.100.80.132
ugus0080r02	10.100.80.133
ugus0097r01	10.100.97.132
ugus0097r02	10.100.97.133
ugus0120r01	10.101.20.132
ugus0120r02	10.101.20.133
ugus0123r01	10.101.23.132
ugus0123r02	10.101.23.133
ugus0472r01	10.104.72.132
ugus0472r02	10.104.72.133
ugus0488r01	10.104.88.132
ugus0488r02	10.104.88.133
ugus0206r01	10.102.6.132
ugus0206r02	10.102.6.133
jkus1611r01	10.116.11.100
jkus1611r02	10.116.11.101
jkus1653r01	10.116.53.100
jkus1653r02	10.116.53.101
jkus1657r01	10.116.57.100
jkus1657r02	10.116.57.101
jkus1694r01	10.116.94.100
jkus1694r02	10.116.94.101
jkus7009r01	10.170.9.100
jkus7009r02	10.170.9.101
jkus7033r01	10.170.33.100
jkus7033r02	10.170.33.101
jkus7039r01	10.170.39.100
jkus7039r02	10.170.39.101
jkus7081r01	10.170.81.100
jkus7081r02	10.170.81.101
jkus7091r01	10.170.91.100
jkus7091r02	10.170.91.101
jkus7101r01	10.171.1.100
jkus7101r02	10.171.1.101
jkus7111r01	10.171.11.100
jkus7111r02	10.171.11.101
jkus7118r01	10.171.18.100
jkus7118r02	10.171.18.101
jkus7119r01	10.171.19.100
jkus7119r02	10.171.19.101
jkus7125r01	10.171.25.100
jkus7125r02	10.171.25.101
jkus7129r01	10.171.29.100
jkus7129r02	10.171.29.101
jkus7133r01	10.171.33.100
jkus7133r02	10.171.33.101
jkus7134r01	10.171.34.100
jkus7134r02	10.171.34.101
jkus7135r01	10.171.35.100
jkus7135r02	10.171.35.101
jkus7153r01	10.171.53.100
jkus7153r02	10.171.53.101
jkus7167r01	10.171.67.100
jkus7167r02	10.171.67.101
jkus7168r01	10.171.68.100
jkus7168r02	10.171.68.101
jkus7186r01	10.171.86.100
jkus7186r02	10.171.86.101
jkus7202r01	10.172.2.100
jkus7202r02	10.172.2.101
jkus7207r01	10.172.7.100
jkus7207r02	10.172.7.101
jmus1687r01	10.116.87.36
jmus1712r01	10.117.12.36
jmus1840r01	10.118.40.36
jmus1849r01	10.118.49.36
jmus2092r01	10.120.92.36
jyca5001r01	10.150.1.68
jyca5001r02	10.150.1.69
jyca5005r01	10.150.5.68
jyca5005r02	10.150.5.69
jyca5008r01	10.150.8.68
jyca5008r02	10.150.8.69
jyca5010r01	10.150.10.68
jyca5010r02	10.150.10.69
jyca5015r01	10.150.15.68
jyca5015r02	10.150.15.69
jyca5034r01	10.150.34.68
jyca5034r02	10.150.34.69
jyus0140r01	10.101.40.68
jyus0140r02	10.101.40.69
jyus0245r01	10.102.45.68
jyus0245r02	10.102.45.69
s080250-4	10.102.50.71
jyus0340r03	10.103.40.70
jyus0341r01	10.103.41.68
jyus0341r02	10.103.41.69
s080489	10.104.89.68
jyus0489r02	10.104.89.69
jyus0515r01	10.105.15.68
jyus0515r02	10.105.15.69
jyus0517r01	10.105.17.68
jyus0517r02	10.105.17.69
jyus0524r03	10.105.24.70
jyus0530r01	10.105.30.68
jyus0530r02	10.105.30.69
jyus0541r01	10.105.41.68
jyus0541r02	10.105.41.69
jyus0551r03	10.105.51.70
jyus0553r03	10.105.53.70
jyus0565r01	10.105.65.68
jyus0565r02	10.105.65.69
jyus0755r01	10.107.55.68
jyus0755r02	10.107.55.69
jyus0819r01	10.108.19.68
jyus0819r02	10.108.19.69
jyus0833r01	10.108.33.68
s080833-2	10.108.33.69
jyus0836r01	10.108.36.68
jyus0836r02	10.108.36.69
jyus0846r03	10.108.46.70
jyus0905r03	10.109.5.70
jyus0942r01	10.109.42.68
jyus0942r02	10.109.42.69
jyus0954r01	10.109.54.68
jyus0954r02	10.109.54.69
jyus0981r03	10.109.81.70
jyus1035r03	10.110.35.70
jyus1090r03	10.110.90.70
jyus1166r03	10.111.66.70
jyus1186r01	10.111.86.68
jyus1186r02	10.111.86.69
jyus1218r01	10.112.18.68
jyus1218r02	10.112.18.69
jyus1233r01	10.112.33.68
jyus1233r02	10.112.33.69
jyus1250r01	10.112.50.68
jyus1250r02	10.112.50.69
jyus1291r01	10.112.91.68
jyus1291r02	10.112.91.69
jyus1301r03	10.113.1.70
jyus1372r01	10.113.72.68
jyus1372r02	10.113.72.69
jyus1374r01	10.113.74.68
jyus1374r02	10.113.74.69
jyus1376r03	10.113.76.70
jyus1392r01	10.113.92.68
jyus1392r02	10.113.92.69
jyus1407r01	10.114.7.68
jyus1407r02	10.114.7.69
jyus1408r03	10.114.8.70
jyus1421r01	10.114.21.68
jyus1421r02	10.114.21.69
jyus1428r01	10.114.28.68
jyus1428r02	10.114.28.69
jyus1451r03	10.114.51.70
jyus1488r01	10.114.88.68
jyus1488r02	10.114.88.69
jyus1565r01	10.115.65.68
jyus1565r02	10.115.65.69
jyus1883r03	10.118.83.70
jyus1897r01	10.118.97.68
jyus1897r02	10.118.97.69
jmca4700r01	10.147.0.36
jmca4700r02	10.147.0.37
lbca6232r01	10.162.32.68
lbca6232r02	10.162.32.69
lbca6236r01	10.162.36.68
lbca6236r02	10.162.36.69
s085555-2	10.55.55.70
s081890-1	10.18.90.69
s081890-2	10.18.90.70
s075555-1	10.55.55.69
s075555-2	10.55.55.70
s057220-1	10.72.20.69
s057220-2	10.72.20.70
s071739-1	10.17.39.69
s071739-2	10.17.39.70
s436271-1	10.62.71.69
s436271-2	10.62.71.70
s072501-1	10.25.01.69
s072501-2	10.25.01.70
s071738-1	10.17.38.69
s071738-2	10.17.38.70
