"Username","Enabled"
"lhalverson","True"
"russ745953","False"
"jdurham","False"
"haye745933","True"
"watk746008","True"
"Lyon746099","True"
"chawkins","True"
"cjohnson3","True"
"ejames1","True"
"mharris","True"
"aperez","True"
"bmalone","True"
"fdurham","True"
"jvalensuela","True"
"wilc746092","True"
"kodonnell","True"
"broo745941","True"
"msuperack","True"
"rdickinson","True"
"elam745986","True"
"mking","True"
"nblankenship","True"
"Bang746110","True"
"bwolski","False"
